Sex,Year,Age group,Mean Height (urban),Mean Height (urban) lower 95% uncertainty interval,Mean Height (urban) upper 95% uncertainty interval,Mean Height (rural),Mean Height (rural) lower 95% uncertainty interval,Mean Height (rural) upper 95% uncertainty interval,Mean Height (urban-rural difference),Mean Height (urban-rural difference) lower 95% uncertainty interval,Mean Height (urban-rural difference) upper 95% uncertainty interval
Boys,1990,5,109.6555035,109.2117831,110.1197116,105.0731822,104.4302673,105.7087123,4.582321271,4.115698297,5.05486299
Boys,1990,6,115.5834542,115.1989043,115.9906682,110.9409652,110.4018137,111.4796691,4.642488992,4.2298526,5.053125296
Boys,1990,7,121.0992985,120.7445046,121.4699595,116.3937307,115.9173964,116.8687617,4.705567819,4.330232476,5.080223039
Boys,1990,8,126.3127508,125.9765145,126.6552253,121.541172,121.1044396,121.9728185,4.771578735,4.425098436,5.125994176
Boys,1990,9,131.3449486,131.0229987,131.6721043,126.5046271,126.1002568,126.9210848,4.840321537,4.510675612,5.173300376
Boys,1990,10,136.5048099,136.1967441,136.8151791,131.4954842,131.1080391,131.8879038,5.009325617,4.697719116,5.331169931
Boys,1990,11,141.6380209,141.3393866,141.9482642,136.5478334,136.1619056,136.9286639,5.090187488,4.783334957,5.403253525
Boys,1990,12,147.4573793,147.1533015,147.7763089,142.265845,141.8788036,142.6495298,5.191534321,4.886432685,5.501100852
Boys,1990,13,154.1907446,153.8846733,154.5074989,148.8761928,148.492355,149.2542072,5.314551824,5.002932041,5.618826155
Boys,1990,14,160.4901169,160.1731165,160.8130725,155.132964,154.7412313,155.5199151,5.357152912,5.040067628,5.669389406
Boys,1990,15,165.2549304,164.9377437,165.5740502,159.9909204,159.5929116,160.3882515,5.26401001,4.947319547,5.569365527
Boys,1990,16,167.9694925,167.6274653,168.3044115,162.8671813,162.4471361,163.2923071,5.102311144,4.778718443,5.416791611
Boys,1990,17,169.464601,169.1050069,169.8190329,164.4903336,164.0429943,164.9273942,4.974267404,4.641076587,5.30685578
Boys,1990,18,170.2748774,169.8848635,170.6598423,165.4345146,164.9581996,165.8990695,4.840362792,4.496030091,5.187773135
Boys,1990,19,170.9693726,170.5413613,171.389128,166.3452868,165.8359324,166.8371316,4.624085813,4.258855555,4.993314719
Boys,1991,5,109.6708548,109.2285781,110.1329309,105.158706,104.5175571,105.7910345,4.512148779,4.054725032,4.982652892
Boys,1991,6,115.5877819,115.2072209,115.9885836,111.0102365,110.470235,111.5415319,4.577545401,4.17759892,4.984175978
Boys,1991,7,121.102678,120.7575847,121.4647851,116.4557237,115.9843172,116.9187131,4.646954295,4.281338019,5.016304499
Boys,1991,8,126.3217877,125.9949273,126.6597138,121.6022906,121.1795933,122.0287809,4.719497098,4.381840288,5.06975332
Boys,1991,9,131.3548474,131.0364787,131.6782598,126.5594803,126.1599,126.9603093,4.795367092,4.475078698,5.1184048
Boys,1991,10,136.5048953,136.2070199,136.8123574,131.5204691,131.1443889,131.9022926,4.984426218,4.683830078,5.288734123
Boys,1991,11,141.6320672,141.3404,141.9359629,136.5562594,136.1857594,136.9243798,5.07580782,4.775311311,5.378171259
Boys,1991,12,147.4417564,147.1511678,147.7473126,142.2516842,141.8770706,142.6239169,5.190072126,4.895218395,5.49117174
Boys,1991,13,154.1679869,153.871529,154.4710995,148.8501353,148.4806286,149.2150512,5.317851543,5.022855282,5.611547289
Boys,1991,14,160.4687889,160.1633681,160.7771765,155.1137672,154.7428287,155.4911399,5.355021705,5.053921724,5.649347008
Boys,1991,15,165.2503297,164.9470943,165.5520539,160.010427,159.6311219,160.3834464,5.239902717,4.939369887,5.529217705
Boys,1991,16,167.9943686,167.6763792,168.3107283,162.9418207,162.5464236,163.3362587,5.05254783,4.747951839,5.349533296
Boys,1991,17,169.5217,169.1926501,169.8481632,164.6226156,164.2160379,165.0225321,4.899084373,4.587046957,5.209319284
Boys,1991,18,170.3596524,170.0101155,170.7049638,165.6085629,165.1808177,166.0266151,4.751089493,4.429916926,5.075902294
Boys,1991,19,171.0659376,170.6879351,171.4269286,166.5294593,166.1018804,166.9697756,4.53647832,4.205029071,4.864598609
Boys,1992,5,109.7008207,109.2576018,110.1607896,105.2636535,104.6237676,105.8896395,4.437167167,3.992416219,4.897982518
Boys,1992,6,115.6059475,115.2270104,115.9984762,111.102653,110.5693914,111.6278111,4.503294587,4.109937587,4.90493413
Boys,1992,7,121.1094055,120.7667556,121.4682029,116.532144,116.0672031,116.9870473,4.577261496,4.222518254,4.937994382
Boys,1992,8,126.3274907,126.0119884,126.6620084,121.6718837,121.2590563,122.0897057,4.655607057,4.328022252,4.994008351
Boys,1992,9,131.3665088,131.0589751,131.6834502,126.6289767,126.2460444,127.0186803,4.737532112,4.426288428,5.053745277
Boys,1992,10,136.5062999,136.2121908,136.809261,131.5583081,131.1909466,131.9260681,4.947991774,4.655145618,5.241989634
Boys,1992,11,141.6278747,141.3448503,141.9219384,136.5764994,136.2161606,136.9347793,5.051375295,4.7632615,5.344380419
Boys,1992,12,147.4319095,147.1513635,147.7302432,142.2567128,141.8947236,142.616457,5.175196678,4.892524418,5.461043233
Boys,1992,13,154.1497764,153.8683963,154.4405149,148.8360786,148.475572,149.1964281,5.313697844,5.029858454,5.600467186
Boys,1992,14,160.4476549,160.1561712,160.7418125,155.0949441,154.7384009,155.458283,5.352710774,5.063980932,5.6354287
Boys,1992,15,165.2362088,164.9537925,165.5169838,160.0018346,159.6462217,160.3547397,5.234374251,4.949411259,5.507508206
Boys,1992,16,168.0006227,167.7020499,168.2970434,162.9738272,162.6034116,163.3437505,5.026795546,4.737962387,5.305841789
Boys,1992,17,169.5576759,169.2528376,169.865195,164.7087416,164.3268502,165.0844124,4.848934287,4.552805713,5.136509192
Boys,1992,18,170.4257591,170.1057217,170.7479187,165.7457666,165.3520722,166.1285956,4.679992473,4.375701845,4.983231195
Boys,1992,19,171.1562268,170.8164736,171.4842911,166.697447,166.3043863,167.0927395,4.458779725,4.151697837,4.763709004
Boys,1993,5,109.749497,109.3066368,110.2057532,105.3884555,104.7499683,106.0093784,4.361041497,3.920283214,4.814898582
Boys,1993,6,115.6392513,115.262583,116.0253879,111.2153028,110.6875897,111.733945,4.423948557,4.038779378,4.817066291
Boys,1993,7,121.1307319,120.7912679,121.4854172,116.6323464,116.1734951,117.0806534,4.498385516,4.153856846,4.848551324
Boys,1993,8,126.3374558,126.0278539,126.6673553,121.7564336,121.3509608,122.1671463,4.581022178,4.261342708,4.908634375
Boys,1993,9,131.3760522,131.0807491,131.6879235,126.7075524,126.3386406,127.0944381,4.668499808,4.370832226,4.973207195
Boys,1993,10,136.5059507,136.2167734,136.7998874,131.6044387,131.2503565,131.9624658,4.901512039,4.612350809,5.187641407
Boys,1993,11,141.627131,141.3500026,141.912142,136.6120834,136.2582485,136.960674,5.015047646,4.735073467,5.295154815
